Nome do Festival,País,Continente,Coordenadas (Aproximadas),Vertentes,Média de público,Ingressos
Boom Festival,Portugal,Europa,"39.8588, -7.5156","Psytrance, multigênero","33,000 - 45,000",
Ozora Festival,Hungria,Europa,"46.8833, 18.4333","Psytrance, multigênero","30,000 - 70,000",
Indian Spirit,Alemanha,Europa,"52.5200, 13.4050","Psytrance, multigênero","20,000 - 25,000",
Psy-Fi Festival,Holanda,Europa,"53.2194, 5.8007","Psytrance, multigênero","11,000 - 15,000",
Antaris Project,Alemanha,Europa,"51.0504, 13.7373","Psytrance, multigênero","8,000 - 15,000",
Hadra Trance Festival,França,Europa,"45.1885, 5.7245","Psytrance, multigênero","9,000 - 10,000",
Freedom Festival,Portugal,Europa,"38.7071, -9.1355",,10.000,
Transition Festival,Espanha,Europa,"41.5912, 1.5209",,5.000,
Masters of Puppets,República Tcheca,Europa,"49.8037, 14.5730","Dark, Forest, Hightech","4,000 - 5,000",
Modem Festival,Croácia,Europa,"45.4929, 15.5479",,15.000,
S.U.N. Festival,Hungria,Europa,"46.2530, 20.1482",,5.000,
Vuuv Festival,Alemanha,Europa,"54.0924, 12.1335",,,
Waldfrieden Hai in den Mai,Alemanha,Europa,"50.8225, 6.8675",,,
WAO Festival,Itália,Europa,"45.8090, 9.0851",,"3,000 - 5,000",
Shankra Festival,Suíça,Europa,"46.6566, 9.5780",,"6,000 - 10,000",
Burning Mountain,Suíça,Europa,"46.6566, 9.5780",,3,
Atmosphere Festival,Portugal,Europa,"39.3999, -9.2245",,5.000,
ZNA Gathering,Portugal,Europa,"39.6426, -8.7160",,2.000,
New Healing Festival,Alemanha,Europa,"51.1657, 10.4515",,1.500,
Labyrinth Festival,Grécia,Europa,"39.3614, 22.9630",,1.500,
Symbiosis Gathering,EUA,América do Norte,"37.7749, -122.4194",,"10,000 - 15,000",
Envision Festival,Costa Rica,América do Norte,"9.3944, -84.1372",,"7,000 - 10,000",
Eclipse Festival,Canadá,América do Norte,"45.5017, -73.5673",,2.000,
Lucidity Festival,EUA,América do Norte,"34.5953, -120.1376",,,
Gem & Jam Festival,EUA,América do Norte,"32.2226, -110.9747",,,
Universo Paralello,Brasil,América do Sul,"-13.9236, -38.9559",,"20,000 - 30,000",
Equilibrium Festival,Brasil,América do Sul,"-23.5505, -46.6333",,"5,000 - 15,000",
Monte Mapu Festival,Chile,América do Sul,"-33.4489, -70.6693",,"2,000 - 5,000",
Moonflower Psytrance Festival,Argentina,América do Sul,"-34.6037, -58.3816","Psytrance, multigênero","500 - 2,000",
Earthdance (Vários),Vários,América do Sul,Varia,,"Varies (local editions: 100 - 2,000)",
Amazonas Andes Festival,Peru,América do Sul,"-12.0464, -77.0428",,"500 - 1,500",
Psymind Festival,Brasil,América do Sul,"-3.4653, -62.2159",,"1,000 - 5,000",
Baobá Festival,Brasil,América do Sul,"-14.2350, -51.9253",,"3,000 - 6,000",
Yanomami Festival,Brasil,América do Sul,"1.0, -62.0",,"1,000 - 5,000",
Flor da Vida,Brasil,América do Sul,"-19.9167, -43.9345",,"10,000 - 25,000",
Tribal Gathering,Panamá,América Central,"9.1022, -79.3622",,"1,000 - 5,000 (depends on edition)",
Cosmic Convergence,Guatemala,América Central,"14.6349, -90.5069",,"2,000 - 3,000",
Alien Safari,África do Sul,África,"-33.9249, 18.4241",,"1,000 - 3,000",
Vortex Open Air,África do Sul,África,"-33.5903, 22.2014",,"1,000 - 5,000",
Earthdance Cape Town,África do Sul,África,"-33.9249, 18.4241",,"~2,000",
Organik - Gaian Dream,África do Sul,África,"-33.9822, 18.4655",,"1,000 - 4,000",
Jungle Fever,África do Sul,África,"-25.9892, 28.1281",,"100 - 1,000",
Rezonance NYE Festival,África do Sul,África,"-33.9249, 18.4241",,"500 - 3,000",
Twilight Open Air Festival,África do Sul,África,"-25.9892, 28.1281",,"500 - 3,000",
Transition Festival Morocco,Marrocos,África,"31.6295, -7.9811",,"1,000 - 3,000",
Atlas Electronic Festival,Marrocos,África,"31.6295, -7.9811",,"5,000 - 10,000",
Kilifi New Year,Quênia,África,"-3.6333, 39.8500",,"1,000 - 3,000",
Sandbox Festival,Egito,África,"29.9792, 31.1342",,"500 - 2,000",
HillTop Festival,Índia,Ásia,"15.5516, 73.7619",,"500 - 2,000",
Shiva Valley,Índia,Ásia,"15.5516, 73.7619",,"1,000 - 3,000",
Psychedelic Circus (Vários),Índia,Ásia,"15.5516, 73.7619",,"Hundreds - 2,000 (varies by edition)",
The Experience Festival,Tailândia,Ásia,"10.0956, 99.8404",,Varies (small to large depending on country),
Half Moon Festival,Tailândia,Ásia,"9.7216, 99.9989",,"1,000 - 5,000",
Full Moon Festival,Tailândia,Ásia,"9.7216, 99.9989",,"5,000 - 20,000",
Sola Luna Festival,Tailândia,Ásia,"9.1887, 99.8735",,"1,000 - 5,000",
Universal Religion,Nepal,Ásia,"27.7172, 85.3240",,Varies widely (hundreds to tens of thousands),
Everest Base Camp Music Fest.,Nepal,Ásia,"27.9881, 86.9250",,"500 - 2,000",
SOL Festival,Japão,Ásia,"35.6895, 139.6917",,"1,000 - 5,000",
Nagisa Music Festival,Japão,Ásia,"34.6937, 135.5023",,"5,000 - 20,000",
BaliSpirit Festival,Indonésia,Ásia,"-8.5193, 115.2633",,"3,000 - 7,000",
Dance For Peace Festival,Indonésia,Ásia,"-8.3533, 116.0414",,"Hundreds - 2,000",
Spirit Tribe,China,Ásia,"25.0450, 102.7090",,"500 - 3,000",
Midi Electronic Music Festival,China,Ásia,"39.9042, 116.4074",,"10,000 - 50,000",
Global Gathering Korea,Coreia do Sul,Ásia,"37.5665, 126.9780",,"10,000 - 40,000",
Ultra Korea,Coreia do Sul,Ásia,"37.5665, 126.9780",,"50,000 - 100,000",
Atman Festival,Sri Lanka,Ásia,"6.9271, 79.8612",,"500 - 3,000",
Doof Festival,Israel,Ásia,"32.4637, 35.2194",,"1,000 - 6,000",
Indigo Festival,Israel,Ásia,"32.4637, 35.2194",,"1,000 - 5,000",
Rainforest World Music Festival,Malásia,Ásia,"1.5535, 110.3593",,"15,000 - 25,000",
Malasimbo Festival,Filipinas,Ásia,"13.5026, 120.9542",,"5,000 - 10,000",
Rainbow Serpent Festival,Austrália,Oceania,"-37.4713, 143.7855",,"6,000 - 10,000",
Earth Frequency Festival,Austrália,Oceania,"-27.4698, 153.0251",,"1,000 - 4,000",
Eclipse Festival (AUS),Austrália,Oceania,Varia,,"5,000 - 15,000",
Esoteric Festival,Austrália,Oceania,"-36.3683, 142.9315",,"500 - 3,000",
Psyfari Festival,Austrália,Oceania,"-33.8688, 151.2093",,"1,000 - 3,000",
Dragon Dreaming Festival,Austrália,Oceania,"-35.2809, 149.1300",,"1,000 - 5,000",
Regrowth Festival,Austrália,Oceania,"-33.8688, 151.2093",,"500 - 2,000",
Burning Seed,Austrália,Oceania,"-29.7836, 151.1175",,"3,000 - 7,000",
Happy Daze Festival,Austrália,Oceania,"-27.4698, 153.0251",,"1,000 - 5,000",
Subsonic Music Festival,Austrália,Oceania,"-32.5534, 151.8566",,"2,000 - 5,000",
Strawberry Fields,Austrália,Oceania,"-35.1581, 142.1833",,"2,000 - 8,000",
Rabbits Eat Lettuce,Austrália,Oceania,"-28.0968, 152.5996",,"Hundreds - 2,000",
Pulsar Festival,Brasil,,"-19.62204635020189, -43.43527282287384",,,
